id,username,date,text,time,state,split_text
920299298709016577,fl511_panhandl,2017-10-17,escambia county: high wind advisory is in effect for escambia bay bridge motorists are asked to use caution  ,14:43:45,Florida,"['escambia', 'county:', 'high', 'wind', 'advisory', 'is', 'in', 'effect', 'for', 'escambia', 'bay', 'bridge', 'motorists', 'are', 'asked', 'to', 'use', 'caution']"
920273209324433411,fl511_panhandl,2017-10-17,cleared: object on roadway in washington on i-10 east at mm 121 right lane blocked last updated at 08:58:25am,13:00:05,Florida,"['cleared:', 'object', 'on', 'roadway', 'in', 'washington', 'on', 'i-10', 'east', 'at', 'mm', '121', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '08:58:25am']"
920272965538861056,fl511_panhandl,2017-10-17,new: object on roadway in washington on i-10 east at mm 121 right lane blocked last updated at 08:58:25am #fl511   …,12:59:07,Florida,"['new:', 'object', 'on', 'roadway', 'in', 'washington', 'on', 'i-10', 'east', 'at', 'mm', '121', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '08:58:25am', '#fl511', '…']"
920244261928435713,fl511_panhandl,2017-10-17,cleared: planned construction in jackson on i-10 west at mm 153 off-ramp right shoulder blocked right lane blocked last updated at,11:05:04,Florida,"['cleared:', 'planned', 'construction', 'in', 'jackson', 'on', 'i-10', 'west', 'at', 'mm', '153', 'off-ramp', 'right', 'shoulder', 'blocked', 'right', 'lane', 'blocked', 'last', 'updated', 'at']"
920240235182809088,fl511_panhandl,2017-10-17,cleared: planned construction in okaloosa on i-10 east at mm 49 left lane blocked last updated at 04:12:47am,10:49:03,Florida,"['cleared:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'east', 'at', 'mm', '49', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '04:12:47am']"
920232931548958720,fl511_panhandl,2017-10-17,cleared: planned construction in escambia on i-10 west beyond exit 12 i-110 2 left lanes blocked last updated at 01:27:54am,10:20:02,Florida,"['cleared:', 'planned', 'construction', 'in', 'escambia', 'on', 'i-10', 'west', 'beyond', 'exit', '12', 'i-110', '2', 'left', 'lanes', 'blocked', 'last', 'updated', 'at', '01:27:54am']"
920232678829576192,fl511_panhandl,2017-10-17,cleared: planned construction in escambia on i-10 east beyond exit 13 davis hwy left lane blocked last updated at 09:00:32pm,10:19:02,Florida,"['cleared:', 'planned', 'construction', 'in', 'escambia', 'on', 'i-10', 'east', 'beyond', 'exit', '13', 'davis', 'hwy', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '09:00:32pm']"
920229658184110080,fl511_panhandl,2017-10-17,cleared: planned construction in okaloosa on i-10 west before exit 45 holt right lane blocked last updated at 04:13:14am,10:07:02,Florida,"['cleared:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'west', 'before', 'exit', '45', 'holt', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '04:13:14am']"
920229415686197254,fl511_panhandl,2017-10-17,cleared: planned construction in jackson on i-10 east at exit 152 left lane blocked last updated at 01:15:14am,10:06:04,Florida,"['cleared:', 'planned', 'construction', 'in', 'jackson', 'on', 'i-10', 'east', 'at', 'exit', '152', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '01:15:14am']"
920200975322935296,fl511_panhandl,2017-10-17,updated: planned construction in okaloosa on i-10 east at mm 49 left lane blocked last updated at 04:12:47am   …,08:13:03,Florida,"['updated:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'east', 'at', 'mm', '49', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '04:12:47am', '…']"
